Program ID,Facility Name,Town,County,Withdrawal Category,Withdrawal Type,Reporting Year,Average Day Withdrawal (MGD),Maximum Day Withdrawal (MGD),Easting,Northing
WWR0000021,Airway Meadows Golf Course,Northumberland (T),Saratoga,Recreational - Golf Course,Surface Water,2017,0.03,0.3,610989,4781689
WWR0000022,"Akron, Vg",Bennington (T),Wyoming,Public Water Supply,Surface Water,2017,0.36,0.55,226178,4752301
WWR0000025,"Albany, City",Westerlo (T),Albany,Public Water Supply,Surface Water,2017,18.3,24.2,602045,4723036
WWR0000023,Albany Country Club,Guilderland (T),Albany,Recreational - Golf Course,Surface Water,2017,0.04,0.38,588330,4726027
WWR0000024,Albany International,Cortlandville (T),Cortland,Industrial,Groundwater; Purchase,2017,0.11,0.22,402939,4719862
WWR0000027,"Albion, Vg",Carlton (T),Orleans,Public Water Supply,Surface Water,2017,1.37,2.14,239527,4806924
WWR0000029,"Alden, Vg",Alden (T),Erie,Public Water Supply,Groundwater,2017,0.2,0.31,214957,4755644
WWR0000030,"Alexandria Bay, Vg",Alexandria (T),Jefferson,Public Water Supply,Surface Water,2017,0.18,0.45,427683,4909697
WWR0000031,"Alfred, Vg",Alfred (T),Allegany,Public Water Supply,Groundwater,2017,0.51,0.86,269740,4681751
WWR0000035,Allegany State Park - Long Point,Ellery (T),Chautauqua,Institutional,Groundwater,2017,0,0.01,136311,4679312
WWR0000036,Allegany State Park - Route 1 (Red House),Red House (T),Cattaraugus,Institutional,Groundwater,2017,0.06,0.13,190035,4667633
WWR0000037,Allegany Station,Hume (T),Allegany,Power - Fossil Fuel,Surface Water,2017,0.09,1.15,247870,4710135
WWR0000038,"Allegany, Vg",Allegany (T),Cattaraugus,Public Water Supply,Groundwater,2017,0.72,1.14,211367,4665301
WWR0000039,"Allenwaite Farms, Inc",Easton (T),Washington,Agricultural,Groundwater; Surface Water,2017,0.07,0.08,617419,4761893
WWR0000040,"Almond, Vg",Almond (T),Allegany,Public Water Supply,Groundwater,2017,0.05,0.11,274138,4688554
WWR0000041,Altamont Orchards,Guilderland (T),Albany,Agricultural,Surface Water,2017,0.01,0.04,580543,4730268
WWR0000042,"Altamont, Vg",Guilderland (T),Albany,Public Water Supply,Groundwater,2017,0.18,0.31,579850,4728268
WWR0000044,Altona Correctional Facility,Altona (T),Clinton,Institutional,Groundwater,2017,0.07,0.11,605851,4971791
WWR0000045,Amawalk - Shenorock Water District,Somers (T),Westchester,Public Water Supply,Groundwater; Purchase,2017,0.03,0.07,605625,4577542
WWR0000046,"Amdur Park, Woodbury Water District #6",Woodbury (T),Orange,Public Water Supply,Groundwater,2017,0.01,0.04,569962,4578381
WWR0000194,Amenia Sand & Gravel,Amenia (T),Dutchess,Mine Dewatering,Groundwater; Surface Water,2017,0.01,0.01,623348,4633162
WWR0000047,Amenia Water District #1,Amenia (T),Dutchess,Public Water Supply,Groundwater,2017,0.11,0.13,620238,4633742
WWR0000048,American Sugar Refining Inc.,Yonkers (C),Westchester,Industrial,Surface Water; Purchase,2017,7.8,13.2,592226,4531512
WWR0000050,Amos Zittel & Sons,Eden (T),Erie,Agricultural,Groundwater; Surface Water,2017,0.03,0.1,183107,4733030
WWR0000051,Amphenol Corporation,Sidney (T),Delaware,Industrial,Groundwater; Purchase,2017,0.27,0.46,467264,4684167
WWR0000052,AMRI Rensselaer,Rensselaer (C),Rensselaer,Industrial,Surface Water,2017,1.08,1.54,602690,4720706
WWR0000053,"Amsterdam, City",Providence (T),Saratoga,Public Water Supply,Surface Water,2017,5.67,6.71,566213,4754338
WWR0000055,Andes Water District #1,Andes (T),Delaware,Public Water Supply,Groundwater; Surface Water,2017,0.02,0.06,517555,4670933
WWR0000056,"Andover, Vg",Andover (T),Allegany,Public Water Supply,Groundwater; Surface Water,2017,0.12,0.19,269065,4671047
WWR0000057,"Angelica, Vg",West Almond (T),Allegany,Public Water Supply,Groundwater; Surface Water,2017,0.08,0.23,251716,4687788
WWR0000058,Anglebrook Golf Club,Somers (T),Westchester,Recreational - Golf Course,Groundwater,2017,0.05,0.38,606622,4574680
WWR0000059,"Antwerp, Vg",Antwerp (T),Jefferson,Public Water Supply,Groundwater,2017,0.04,0.06,451448,4894211
WWR0000060,Apawamis Club,Rye (C),Westchester,Recreational - Golf Course,Surface Water,2017,0.05,0.16,610232,4538017
WWR0000061,APC Paper Company of New York,Norfolk (T),St. Lawrence,Industrial,Surface Water,2017,0.15,0.4,500298,4961255
WWR0001951,Apple Greens Golf Course,Lloyd (T),Ulster,Recreational - Golf Course,Surface Water,2017,0.14,0.27,579401,4619006
WWR0000062,Aqua Arbor,Chateaugay (T),Franklin,Other,Groundwater,2017,0,0,574432,4980995
WWR0000365,Aqua Arbor - Spring Water,Chateaugay (T),Franklin,Bottled/Bulk Water,Not Reported,2017,0,0,574430,4980997
WWR0000064,"Arcade, Vg",Freedom (T),Cattaraugus,Public Water Supply,Groundwater; Surface Water,2017,0.32,0.35,218737,4714857
WWR0000065,"Arcade, Vg, Sandusky Water",Freedom (T),Cattaraugus,Public Water Supply,Groundwater,2017,0.02,0.03,222671,4710398
WWR0000966,Arconic Inc,Massena (T),St. Lawrence,Industrial,Surface Water,2017,1.9,2.45,508686,4978460
WWR0000068,"Arkport, Vg",Hornellsville (T),Steuben,Public Water Supply,Groundwater; Surface Water,2017,0.09,0.11,278202,4696931
WWR0000069,Arlington High School,La Grange (T),Dutchess,Public Water Supply,Groundwater,2017,0.01,0.05,600354,4613895
WWR0000070,Arrowhead Golf Club,Cicero (T),Onondaga,Recreational - Golf Course,Surface Water,2017,0.06,0.06,416411,4775017
WWR0001955,Arsenal Stone Quarry,Hounsfield (T),Jefferson,Mine Dewatering,Surface Water,2017,0.19,0.19,420539,4868435
WWR0000071,Arthur Kill Generating Station,Richmond (T),Richmond,Power - Fossil Fuel,Surface Water,2017,324,712.8,567811,4493229
WWR0000072,Astoria Generating Station,Queens (T),Queens,Power - Fossil Fuel,Surface Water,2017,483.22,476,591794,4515700
WWR0000073,"Athens, Vg",Athens (T),Greene,Public Water Supply,Surface Water,2017,0.18,0.31,598083,4679612
WWR0000075,"Attica, Vg",Attica (T),Wyoming,Public Water Supply,Surface Water,2017,0.92,1.16,233791,4747898
WWR0000077,"Auburn, City",Owasco (T),Cayuga,Public Water Supply,Surface Water,2017,3.93,4.88,372241,4754549
WWR0000080,Ausable Club,Keene (T),Essex,Recreational - Golf Course,Groundwater; Surface Water,2017,0.03,0.1,597586,4889439
WWR0000076,Au Sable Forks Water District,Jay (T),Essex,Public Water Supply,Groundwater,2017,0.13,0.22,605331,4921479
WWR0000081,"Avoca, Vg",Avoca (T),Steuben,Public Water Supply,Groundwater,2017,0.05,0.12,300855,4698058
WWR0000082,"Avon, Vg",Livonia (T),Livingston,Public Water Supply,Surface Water,2017,0.74,0.98,275884,4754572
WWR0000083,Ayers & Gillette LLC,Pike (T),Wyoming,Agricultural,Surface Water,2017,0,,240402,4715952
WWR0000086,Back O'Beyond,Southeast (T),Putnam,Recreational - Golf Course,Surface Water,2017,0.02,0.27,622015,4584832
WWR0000087,"Bainbridge, Vg",Bainbridge (T),Chenango,Public Water Supply,Groundwater,2017,0.11,0.24,460523,4682500
WWR0000089,"Baldwinsville, Vg",Lysander (T),Onondaga,Public Water Supply,Groundwater,2017,0.95,1.4,391560,4779329
WWR0000090,Ballston Spa Country Club,Milton (T),Saratoga,Recreational - Golf Course,Surface Water,2017,0.03,0.15,592020,4761518
WWR0000091,"Ballston Spa, Vg",Saratoga Springs (C),Saratoga,Public Water Supply,Groundwater,2017,0.75,1.28,593630,4761746
WWR0000094,Barber Family Farm,Fulton (T),Schoharie,Agricultural,Surface Water,2017,0.21,0.21,549915,4714509
WWR0000095,Bard College,Red Hook (T),Dutchess,Institutional,Surface Water,2017,0.13,0.18,590406,4652420
WWR0000267,"Barneveld, Vg",Trenton (T),Oneida,Public Water Supply,Surface Water,2017,0.05,0.07,484964,4791279
WWR0000096,Barre Stone Products,Barre (T),Orleans,Mine Dewatering,Surface Water,2017,2.45,4.3,238922,4788620
WWR0000099,Barrett - Litchfield Quarry,Litchfield (T),Herkimer,Industrial,Groundwater; Surface Water,2017,0.55,0.87,484047,4758729
WWR0000149,Barrett Paving - Boonville,Leyden (T),Lewis,Mine Dewatering,Surface Water,2017,1.42,3.37,473982,4819123
WWR0000098,Barrett Paving- Norwood Quarry,Norfolk (T),St. Lawrence,Mine Dewatering,Surface Water,2017,3.28,4.9,500657,4958517
WWR0000097,Barrett Paving- Watertown Quarry,Pamelia (T),Jefferson,Mine Dewatering,Groundwater; Surface Water,2017,3.15,6.08,427975,4878443
WWR0000101,"Batavia, City",Batavia (C),Genesee,Public Water Supply,Groundwater; Surface Water,2017,2.85,4.2,240388,4765536
WWR0000103,Bath Veterans Adminstration,Bath (T),Steuben,Public Water Supply,Groundwater,2017,0.05,0.08,306622,4690628
WWR0000104,"Bath, Vg",Bath (T),Steuben,Public Water Supply,Groundwater,2017,0.94,1.62,309058,4689660
WWR0000105,Battle Island State Park,Granby (T),Oswego,Recreational - Golf Course,Surface Water,2017,0.01,0.09,383155,4802147
WWR0000106,"Beacon, City",Fishkill (T),Dutchess,Public Water Supply,Groundwater; Surface Water,2017,2.45,3.05,585250,4595660
WWR0000107,Beak & Skiff Apple Farms,Onondaga (T),Onondaga,Agricultural,Surface Water,2017,0,0,401284,4751466
WWR0001266,Bear Mountain Water Supply,Highlands (T),Orange,Public Water Supply,Surface Water,2017,0.2,0.41,581686,4573750
WWR0001945,Beaver Meadows Golf Club,Schroeppel (T),Oswego,Recreational - Golf Course,Groundwater; Surface Water,2017,0.01,0.79,393605,4793429
WWR0000240,Beaver Valley Water District,Catlin (T),Chemung,Public Water Supply,Groundwater,2017,0.02,0.04,342665,4681496
WWR0000108,Bedford Consolidated Improvement District #1,Bedford (T),Westchester,Public Water Supply,Groundwater,2017,0.79,1.58,608980,4566267
WWR0000109,Bedford Creek Golf Course,Hounsfield (T),Jefferson,Recreational - Golf Course,Surface Water,2017,0.01,0.12,410491,4863116
WWR0000110,Bedford Golf and Tennis Club,Bedford (T),Westchester,Recreational - Golf Course,Groundwater,2017,0.04,0.47,612958,4563047
WWR0000113,Beekman Country Club,East Fishkill (T),Dutchess,Recreational - Golf Course,Groundwater; Surface Water,2017,0.09,0.46,601988,4605400
WWR0000114,Beekman Water Company,East Fishkill (T),Dutchess,Public Water Supply,Groundwater,2017,0.08,0.17,601988,4605400
WWR0000115,Belfast Water District,Belfast (T),Allegany,Public Water Supply,Groundwater,2017,0.05,0.16,243656,4692587
WWR0001907,Belleayre Mountain - PWS,Shandaken (T),Ulster,Public Water Supply,Groundwater,2017,0.01,0.02,541088,4665174
WWR0001897,Belleayre Mountain - Snow,Shandaken (T),Ulster,Recreational - Snow Making,Surface Water,2017,1.96,4.61,540831,4664415
WWR0000117,"Belmont, Vg",Amity (T),Allegany,Public Water Supply,Groundwater; Surface Water,2017,0.13,0.25,249566,4678999
WWR0000118,Bend of The River Golf Course,Hadley (T),Saratoga,Recreational - Golf Course,Surface Water,2017,0.03,,594675,4795173
WWR0001930,Bent Wire - SOUTHERN DUTCHESS SAND & GRAVEL,Fishkill (T),Dutchess,Industrial,Surface Water,2017,0.18,0.21,591636,4594419
WWR0000119,Bergen Farms,Hector (T),Schuyler,Agricultural,Groundwater; Surface Water,2017,0.09,0.1,356437,4699076
WWR0000121,Berkshire Farm Center,Canaan (T),Columbia,Institutional,Groundwater,2017,0.03,0.16,631419,4696873
WWR0000122,Bethel Water Company,Bethel (T),Sullivan,Public Water Supply,Groundwater,2017,0.01,0.02,512902,4615798
WWR0000123,Bethlehem Energy Center,Bethlehem (T),Albany,Power - Fossil Fuel,Surface Water,2017,3.42,5.33,601395,4716494
WWR0000124,Bethlehem Water District #1,New Scotland (T),Albany,Public Water Supply,Groundwater; Surface Water; Purchase,2017,4.52,7.35,595161,4719324
WWR0000127,"Big Flats, Tn",Big Flats (T),Chemung,Public Water Supply,Groundwater,2017,0.55,1.18,340115,4667255
WWR0000128,Big O Farms Inc,Elba (T),Genesee,Agricultural,Groundwater,2017,0.99,0.59,246341,4776556
WWR0000129,Bilow Farm,Bellmont (T),Franklin,Agricultural,Groundwater,2017,0.07,0.11,566861,4966415
WWR0000130,"Binghamton, City",Binghamton (C),Broome,Public Water Supply,Groundwater; Surface Water,2017,6,,424620,4660907
WWR0001899,Birchwood Estates,Thompson (T),Sullivan,Public Water Supply,Groundwater,2017,0.01,0.03,520867,4605634
WWR0001866,Bishop Farms,Sidney (T),Delaware,Agricultural,Surface Water,2017,0.08,0.09,471148,4684789
WWR0000084,B J Farms,Easton (T),Washington,Agricultural,Surface Water,2017,0.1,,617903,4771384
WWR0000133,Blackberry Hill Water District,Southeast (T),Putnam,Public Water Supply,Groundwater,2017,0.04,0.05,616142,4585143
WWR0000134,Blackhead Mountain Lodge & Country Club,Cairo (T),Greene,Recreational - Golf Course,Groundwater; Surface Water,2017,0.02,0.18,578121,4679630
WWR0000131,"Black River Generation, LLC (ReEnergy)",Le Ray (T),Jefferson,Power - Fossil Fuel,Surface Water; Purchase,2017,5.81,6.38,438346,4876399
WWR0000132,"Black River, Vg",Le Ray (T),Jefferson,Public Water Supply,Groundwater; Surface Water,2017,0.21,0.33,436288,4873549
WWR0000135,Blind Brook Club,Rye (T),Westchester,Recreational - Golf Course,Surface Water,2017,0.07,0.31,610438,4544341
WWR0000136,"Bloomfield, Vg",East Bloomfield (T),Ontario,Public Water Supply,Groundwater; Surface Water,2017,0.16,,302386,4752757
WWR0000137,Blooming Grove Water District #1,Blooming Grove (T),Orange,Public Water Supply,Groundwater,2017,0.19,0.25,567833,4579931
WWR0000139,"Blooming Grove Water District #2, Oxford",Blooming Grove (T),Orange,Public Water Supply,Groundwater,2017,0.01,0.02,564286,4579030
WWR0000141,"Blooming Grove Water District #3, Tomahawk",Blooming Grove (T),Orange,Public Water Supply,Groundwater,2017,0.01,0.02,565274,4584617
WWR0000140,"Blooming Grove Water District #4, Tappan",Blooming Grove (T),Orange,Public Water Supply,Groundwater,2017,0.03,0.05,567642,4583955
WWR0000138,"Blooming Grove Water District #5, Mountain View",Blooming Grove (T),Orange,Public Water Supply,Groundwater,2017,0.02,0.05,572397,4586071
WWR0000142,Blue Heron Hills Country Club,Walworth (T),Wayne,Recreational - Golf Course,Surface Water,2017,0.03,0.46,311443,4777648
WWR0000143,Blue Mountain Lake Water District #1,Indian Lake (T),Hamilton,Public Water Supply,Surface Water,2017,0.04,0.12,545309,4857252
WWR0000371,Blue Stores Mine - Cranesville,Livingston (T),Columbia,Mine Dewatering,Surface Water,2017,0.12,0.12,598746,4662455
WWR0000144,"Bluff Point Golf, LLC",Plattsburgh (T),Clinton,Recreational - Golf Course,Surface Water,2017,0.02,0.06,623690,4944352
WWR0000145,"Bolivar, Vg",Bolivar (T),Allegany,Public Water Supply,Groundwater,2017,0.21,0.03,237941,4662137
WWR0000146,Bolton Water District,Bolton (T),Warren,Public Water Supply,Surface Water,2017,0.3,0.55,608590,4823557
WWR0000620,Bonded Concrete - Gravesville Plant,Russia (T),Herkimer,Mine Dewatering,Surface Water,2017,0.16,1.73,490912,4789664
WWR0001071,Bonded Concrete - Nassau Quarry,Nassau (T),Rensselaer,Mine Dewatering,Surface Water,2017,0,0,622565,4715436
WWR0000148,Bonduelle USA - Bergen Facility,Bergen (T),Genesee,Industrial,Groundwater,2017,0.13,0.43,259892,4774488
WWR0000147,Bonduelle USA - Oakfield Facility,Oakfield (T),Genesee,Industrial,Surface Water,2017,0.26,1.12,233309,4773038
WWR0000150,"Boonville, Vg",Boonville (T),Oneida,Public Water Supply,Groundwater,2017,0.3,0.81,474443,4813654
WWR0000152,Borchert Orchards,Marlborough (T),Ulster,Agricultural,Surface Water,2017,0,0,583105,4605123
WWR0000154,Bowman Farms,North Collins (T),Erie,Agricultural,Groundwater; Surface Water,2017,0.02,0.07,176821,4721162
WWR0000155,Brae Burn Country Club,Harrison (T),Westchester,Recreational - Golf Course,Surface Water,2017,0.1,0.5,606475,4544694
WWR0000156,Braemar Country Club,Parma (T),Monroe,Recreational - Golf Course,Surface Water,2017,0,0.02,275590,4789269
WWR0000157,Brantling Ski Slopes,Arcadia (T),Wayne,Recreational - Snow Making,Surface Water,2017,0.02,,332081,4779553
WWR0000159,Brewster Heights - Middle Branch,Southeast (T),Putnam,Public Water Supply,Surface Water,2017,0.08,0.12,614245,4584018
WWR0000160,"Brewster, Vg",Southeast (T),Putnam,Public Water Supply,Groundwater,2017,0.19,0.3,615478,4583460
WWR0000162,Brierwood Country Club,Hamburg (T),Erie,Recreational - Golf Course,Surface Water,2017,0.17,0.34,182608,4739417
WWR0000163,Brinkerhoff Water District,Fishkill (T),Dutchess,Public Water Supply,Groundwater,2017,0.27,0.5,594463,4599723
WWR0000164,Bristol Mountain,South Bristol (T),Ontario,Recreational - Snow Making,Surface Water,2017,0.98,10.09,303334,4735275
WWR0000166,"Broadalbin, Vg",Broadalbin (T),Fulton,Public Water Supply,Groundwater,2017,0.11,0.12,565394,4767619
WWR0000168,"Brocton, Vg",Portland (T),Chautauqua,Public Water Supply,Surface Water,2017,0.32,0.71,134337,4702439
WWR0000170,Brookfield Country Club,Clarence (T),Erie,Recreational - Golf Course,Groundwater; Surface Water,2017,0.05,0.4,201115,4765600
WWR0001912,Brookhaven Golf Club,Greenfield (T),Saratoga,Recreational - Golf Course,Surface Water,2017,0.05,0.15,590348,4781966
WWR0000173,Brook-Lea Country Club,Gates (T),Monroe,Recreational - Golf Course,Groundwater,2017,0.04,0.24,279983,4778969
WWR0000174,Brooklyn Navy Yard,Kings (T),Kings,Power - Fossil Fuel,Surface Water; Purchase,2017,51.59,68.88,586969,4506457
WWR0000176,Brookwoods Country Club,Ontario (T),Wayne,Recreational - Golf Course,Surface Water,2017,0.07,0.15,314817,4787178
WWR0000177,Broughton Farm,Gainesville (T),Wyoming,Agricultural,Groundwater,2017,0.38,0.4,245033,4727265
WWR0000179,"Brownville, Vg",Brownville (T),Jefferson,Public Water Supply,Groundwater; Surface Water,2017,0.13,0.32,421139,4872598
WWR0000180,Bruce Matis,Palatine (T),Montgomery,Agricultural,Groundwater; Surface Water,2017,0.02,,540702,4754389
WWR0000182,Brynwood Golf Club,North Castle (T),Westchester,Recreational - Golf Course,Groundwater; Surface Water,2017,0.07,0.38,610302,4556076
WWR0000183,Buffalo River Improvement Corporation,Buffalo (C),Erie,Industrial,Surface Water,2017,5.9,13.03,184377,4751771
WWR0000184,Buffalo Water Authority,Buffalo (C),Erie,Public Water Supply,Surface Water,2017,68.71,77.65,181640,4756488
WWR0000185,"Burke, Vg",Burke (T),Franklin,Public Water Supply,Groundwater,2017,0.01,0.07,565593,4972686
WWR0000186,Burrows Paper Corporation,Little Falls (C),Herkimer,Industrial,Surface Water; Purchase,2017,1.06,1.54,510379,4764487
WWR0000188,Burrows Paper Corporation - East Mill St,Little Falls (C),Herkimer,Industrial,Surface Water; Purchase,2017,1.09,1.9,512014,4765406
WWR0000187,Burrows Paper Corporation - Lyonsdale,Lyonsdale (T),Lewis,Industrial,Groundwater; Surface Water,2017,1.23,1.38,475315,4829532
WWR0000189,Butterville Farms,Henderson (T),Jefferson,Agricultural,Groundwater,2017,0.05,0.05,410300,4853716
WWR0000191,Cahoon Farms Inc,Huron (T),Wayne,Industrial,Groundwater; Surface Water,2017,0.1,0.21,348656,4788659
WWR0000192,Cairo Water District,Cairo (T),Greene,Public Water Supply,Groundwater,2017,0.1,0.17,582440,4683631
WWR0001915,Caledonia Country Club,Caledonia (T),Livingston,Recreational - Golf Course,Surface Water,2017,0.03,0.18,268061,4761703
WWR0001828,Cale Farms Water Works,Somers (T),Westchester,Public Water Supply,Groundwater,2017,0.01,0.02,603926,4573038
WWR0000195,Callanan - Bethlehem Site,Coeymans (T),Albany,Mine Dewatering,Groundwater; Surface Water,2017,0.42,0.69,594108,4708389
WWR0000196,Callanan - Bridgeville Site,Thompson (T),Sullivan,Mine Dewatering,Groundwater; Surface Water,2017,2.99,2.84,531994,4608370
WWR0000200,Callanan - Cropseyville,Brunswick (T),Rensselaer,Mine Dewatering,Groundwater; Surface Water,2017,1.16,2.36,620436,4736090
WWR0000198,Callanan - East Kingston Site,Ulster (T),Ulster,Mine Dewatering,Surface Water,2017,0.42,1.48,585197,4645192
WWR0000201,Callanan - Fosterdale Site,Delaware (T),Sullivan,Mine Dewatering,Surface Water,2017,0,0,503144,4618552
WWR0000197,Callanan - Oxbow,Lincoln (T),Madison,Mine Dewatering,Surface Water,2017,0.58,0.87,440940,4763610
WWR0000199,Callanan - Pattersonville Site,Florida (T),Montgomery,Mine Dewatering,Groundwater; Surface Water,2017,0.23,0.93,572083,4750829
WWR0000202,Callanan - Port Ewen Quarry,Esopus (T),Ulster,Mine Dewatering,Surface Water,2017,0,0,583008,4639692
WWR0001750,Callanan - Wynantskill,North Greenbush (T),Rensselaer,Industrial,Surface Water,2017,2.8,3.5,613387,4726806
WWR0000422,Callannan Industries - Brockport Quarry,Sweden (T),Monroe,Mine Dewatering,Groundwater,2017,2.04,4.41,263158,4784355
WWR0000203,Callicoon Water Company,Delaware (T),Sullivan,Public Water Supply,Groundwater; Surface Water,2017,0.14,0.18,495139,4623859
WWR0000205,Cambridge Water Works (Aqua NY),Jackson (T),Washington,Public Water Supply,Groundwater,2017,0.16,0.17,632145,4766228
WWR0000206,"Camden, Vg",Camden (T),Oneida,Public Water Supply,Groundwater; Surface Water,2017,0.3,0.52,439497,4798413
WWR0000212,"Campbell, Tn",Campbell (T),Steuben,Public Water Supply,Groundwater,2017,0.03,0.07,318971,4677818
WWR0000209,Camp Ohr Shalom,Fallsburg (T),Sullivan,Public Water Supply,Groundwater,2017,0.01,0.01,535868,4625661
WWR0000211,"Camp Smith, NY Army National Guard",Cortlandt (T),Westchester,Institutional,Groundwater,2017,0.03,0.11,588574,4572476
WWR0000213,Canajoharie Water Works,Johnstown (T),Fulton,Public Water Supply,Surface Water,2017,0.44,0.5,535181,4752720
WWR0000215,"Canandaigua, City",Canandaigua (T),Ontario,Public Water Supply,Surface Water,2017,3.82,6.11,313680,4750859
WWR0000214,Canandaigua Country Club,Canandaigua (T),Ontario,Recreational - Golf Course,Surface Water,2017,0.06,0.16,315644,4748972
